Stock,LIMIT_UP_PRICE,LIMIT_UP_TIME,BREAK_LIMIT_UP_TIME,Date,Ticker
300665.SZ,9.19,2022-05-11 09:36:06.850,2022-05-11 10:02:30.490,20220511,123052.SZ
002325.SZ,2.4,2022-05-12 09:45:55.830,2022-05-12 11:29:38.270,20220512,128013.SZ
002775.SZ,4.32,2022-05-12 09:51:38.560,2022-05-12 11:11:21.230,20220512,128127.SZ
002811.SZ,8.73,2022-05-12 09:41:11.010,2022-05-12 10:32:54.240,20220512,128066.SZ
002989.SZ,19.53,2022-05-12 11:23:58.170,2022-05-12 14:30:40.580,20220512,127055.SZ
002503.SZ,1.35,2022-05-13 13:52:59.380,2022-05-13 13:53:28.060,20220513,128100.SZ
002510.SZ,3.74,2022-05-13 13:55:14.480,2022-05-13 15:00:00.000,20220513,128090.SZ
002811.SZ,9.6,2022-05-13 09:30:00.840,2022-05-13 10:32:39.430,20220513,128066.SZ
000665.SZ,9.17,2022-05-16 10:49:55.670,2022-05-16 11:29:58.670,20220516,127007.SZ
002510.SZ,4.11,2022-05-16 09:52:59.000,2022-05-16 09:54:37.450,20220516,128090.SZ
002775.SZ,4.62,2022-05-16 09:31:35.330,2022-05-16 11:29:53.000,20220516,128127.SZ
002022.SZ,8.26,2022-05-17 11:02:47.290,2022-05-17 13:39:25.010,20220517,128124.SZ
002811.SZ,9.89,2022-05-17 14:03:44.660,2022-05-17 15:00:00.000,20220517,128066.SZ
002887.SZ,9.23,2022-05-17 11:18:05.900,2022-05-17 15:00:00.000,20220517,127034.SZ
002325.SZ,2.53,2022-05-18 10:34:46.770,2022-05-18 14:17:12.340,20220518,128013.SZ
002707.SZ,6.18,2022-05-18 10:00:11.820,2022-05-18 10:16:20.970,20220518,128022.SZ
002775.SZ,4.68,2022-05-18 09:30:59.220,2022-05-18 15:00:00.000,20220518,128127.SZ
002811.SZ,10.88,2022-05-18 09:30:00.960,2022-05-18 10:27:47.920,20220518,128066.SZ
002861.SZ,13.29,2022-05-18 09:31:33.070,2022-05-18 09:31:37.140,20220518,128118.SZ
002887.SZ,10.15,2022-05-18 09:30:53.620,2022-05-18 11:13:28.210,20220518,127034.SZ
002775.SZ,5.15,2022-05-19 09:56:53.700,2022-05-19 10:13:34.540,20220519,128127.SZ
002811.SZ,11.97,2022-05-19 09:30:44.520,2022-05-19 09:31:00.040,20220519,128066.SZ
002887.SZ,11.16,2022-05-19 09:32:08.390,2022-05-19 11:29:11.630,20220519,127034.SZ
002022.SZ,8.77,2022-05-20 10:35:39.160,2022-05-20 10:36:21.630,20220520,128124.SZ
002542.SZ,3.25,2022-05-20 09:35:21.190,2022-05-20 15:00:00.000,20220520,128037.SZ
002887.SZ,12.29,2022-05-20 09:30:06.800,2022-05-20 11:16:48.190,20220520,127034.SZ
002965.SZ,24.01,2022-05-20 09:32:26.060,2022-05-20 09:32:45.600,20220520,128139.SZ
000688.SZ,16.32,2022-05-23 14:14:20.650,2022-05-23 15:00:00.000,20220523,127019.SZ
002022.SZ,9.21,2022-05-23 09:25:00.000,2022-05-23 09:44:56.440,20220523,128124.SZ
002406.SZ,5.25,2022-05-23 13:15:40.990,2022-05-23 13:19:49.390,20220523,128075.SZ
002728.SZ,14.12,2022-05-23 09:39:11.650,2022-05-23 13:58:11.990,20220523,128025.SZ
002749.SZ,10.87,2022-05-23 09:53:20.200,2022-05-23 11:14:00.490,20220523,128123.SZ
002895.SZ,31.35,2022-05-23 13:50:18.530,2022-05-23 15:00:00.000,20220523,127043.SZ
000665.SZ,9.18,2022-05-24 10:01:01.750,2022-05-24 10:01:45.310,20220524,127007.SZ
002406.SZ,5.57,2022-05-24 09:36:46.670,2022-05-24 15:00:00.000,20220524,128075.SZ
002738.SZ,109.89,2022-05-24 10:25:00.590,2022-05-24 10:51:27.100,20220524,128111.SZ
002749.SZ,11.96,2022-05-24 09:39:11.320,2022-05-24 09:46:21.660,20220524,128123.SZ
002846.SZ,6.71,2022-05-24 09:25:00.000,2022-05-24 10:36:04.750,20220524,128079.SZ
002931.SZ,10.65,2022-05-24 09:47:49.700,2022-05-24 10:01:33.980,20220524,128143.SZ
002973.SZ,12.64,2022-05-24 13:29:30.260,2022-05-24 14:08:44.480,20220524,128138.SZ
300580.SZ,20.36,2022-05-24 09:33:23.870,2022-05-24 09:34:37.150,20220524,123075.SZ
000582.SZ,8.38,2022-05-25 09:49:02.420,2022-05-25 09:49:02.830,20220525,127039.SZ
002406.SZ,6.13,2022-05-25 09:25:00.000,2022-05-25 10:34:49.350,20220525,128075.SZ
002822.SZ,5.68,2022-05-25 09:37:53.620,2022-05-25 11:29:50.170,20220525,127033.SZ
002973.SZ,13.9,2022-05-25 09:25:00.000,2022-05-25 10:40:38.020,20220525,128138.SZ
000411.SZ,15.05,2022-05-26 09:25:00.000,2022-05-26 09:30:36.250,20220526,127028.SZ
002370.SZ,5.52,2022-05-26 10:02:14.820,2022-05-26 11:29:49.720,20220526,128062.SZ
